ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	2/3 deg.
DivH.L.Slit	10mm
SctSlit	2/3 deg.
RecSlit	0.3mm
Start	10
Stop	90
Step	0.02
Speed	2
Offset	0
21.42	6.66667
21.44	10
21.46	10
21.48	5
21.5	11.6667
21.52	10
21.54	11.6667
21.56	6.66667
21.58	10
21.6	8.33333
21.62	11.6667
21.64	10
21.66	5
21.68	11.6667
21.7	6.66667
21.72	8.33333
21.74	10
21.76	11.6667
21.78	13.3333
21.8	5
21.82	10
21.84	6.66667
21.86	16.6667
21.88	11.6667
21.9	10
21.92	15
21.94	11.6667
21.96	8.33333
21.98	16.6667
22	6.66667
22.02	10
22.04	10
22.06	6.66667
22.08	3.33333
22.1	11.6667
22.12	5
22.14	8.33333
22.16	8.33333
22.18	11.6667
22.2	3.33333
22.22	13.3333
22.24	13.3333
22.26	3.33333
22.28	6.66667
22.3	10
22.32	5
22.34	5
22.36	6.66667
22.38	10
22.4	8.33333
22.42	11.6667
22.44	10
22.46	8.33333
22.48	15
22.5	13.3333
22.52	18.3333
22.54	16.6667
22.56	20
22.58	16.6667
22.6	20
22.62	21.6667
22.64	13.3333
22.66	23.3333
22.68	21.6667
22.7	20
22.72	13.3333
22.74	18.3333
22.76	23.3333
22.78	26.6667
22.8	21.6667
22.82	11.6667
22.84	11.6667
22.86	25
22.88	13.3333
22.9	10
22.92	13.3333
22.94	21.6667
22.96	15
22.98	10
23	15
23.02	13.3333
23.04	13.3333
23.06	18.3333
23.08	11.6667
23.1	8.33333
23.12	3.33333
23.14	20
23.16	11.6667
23.18	6.66667
23.2	6.66667
23.22	11.6667
23.24	6.66667
23.26	13.3333
23.28	11.6667
23.3	11.6667
23.32	6.66667
23.34	13.3333
23.36	15
23.38	10
23.4	10
23.42	16.6667
23.44	13.3333
23.46	11.6667
23.48	15
23.5	10
23.52	8.33333
23.54	8.33333
23.56	10
23.58	6.66667
23.6	8.33333
23.62	8.33333
23.64	10
23.66	8.33333
23.68	3.33333
23.7	11.6667
23.72	1.66667
23.74	11.6667
23.76	1.66667
23.78	8.33333
23.8	8.33333
23.82	8.33333
23.84	5
23.86	5
23.88	10
23.9	1.66667
23.92	13.3333
23.94	10
23.96	15
23.98	10
24	1.66667
24.02	10
24.04	13.3333
24.06	15
24.08	5
24.1	10
24.12	11.6667
24.14	6.66667
24.16	10
24.18	11.6667
24.2	11.6667
24.22	8.33333
24.24	10
24.26	13.3333
24.28	11.6667
24.3	16.6667
24.32	8.33333
24.34	1.66667
24.36	10
24.38	13.3333
24.4	10
24.42	8.33333
24.44	13.3333
24.46	10
24.48	11.6667
24.5	11.6667
24.52	8.33333
24.54	10
24.56	8.33333
24.58	8.33333
24.6	8.33333
24.62	10
24.64	16.6667
24.66	13.3333
24.68	8.33333
24.7	10
24.72	11.6667
24.74	8.33333
24.76	10
24.78	5
24.8	10
24.82	5
24.84	8.33333
24.86	16.6667
24.88	15
24.9	31.6667
24.92	25
24.94	23.3333
24.96	31.6667
24.98	28.3333
25	25
25.02	28.3333
25.04	35
25.06	36.6667
25.08	41.6667
25.1	60
25.12	98.3333
25.14	105
25.16	100
25.18	98.3333
25.2	68.3333
25.22	51.6667
25.24	38.3333
25.26	48.3333
25.28	26.6667
25.3	13.3333
25.32	20
25.34	26.6667
25.36	18.3333
25.38	18.3333
25.4	21.6667
25.42	15
25.44	15
25.46	15
25.48	20
25.5	10
25.52	25
25.54	21.6667
25.56	16.6667
25.58	18.3333
25.6	15
25.62	18.3333
25.64	20
25.66	20
25.68	13.3333
25.7	13.3333
25.72	45
25.74	30
25.76	63.3333
25.78	46.6667
25.8	65
25.82	56.6667
25.84	33.3333
25.86	30
25.88	31.6667
25.9	26.6667
25.92	25
25.94	21.6667
25.96	11.6667
25.98	10
26	11.6667
26.02	8.33333
26.04	11.6667
26.06	3.33333
26.08	8.33333
26.1	13.3333
26.12	13.3333
26.14	15
26.16	10
26.18	10
26.2	15
26.22	6.66667
26.24	16.6667
26.26	8.33333
26.28	13.3333
26.3	11.6667
26.32	15
26.34	16.6667
26.36	5
26.38	13.3333
26.4	8.33333
26.42	10
26.44	13.3333
26.46	1.66667
26.48	11.6667
26.5	6.66667
26.52	13.3333
26.54	10
26.56	10
26.58	10
26.6	10
26.62	6.66667
26.64	10
26.66	11.6667
26.68	15
26.7	15
26.72	13.3333
26.74	5
26.76	6.66667
26.78	1.66667
26.8	10
26.82	16.6667
26.84	13.3333
26.86	6.66667
26.88	6.66667
26.9	8.33333
26.92	15
26.94	10
26.96	15
26.98	6.66667
27	11.6667
27.02	13.3333
27.04	6.66667
27.06	20
27.08	5
27.1	6.66667
27.12	10
27.14	13.3333
27.16	6.66667
27.18	6.66667
27.2	5
27.22	16.6667
27.24	21.6667
27.26	13.3333
27.28	15
27.3	13.3333
27.32	11.6667
27.34	13.3333
27.36	13.3333
27.38	10
27.4	10
27.42	18.3333
27.44	6.66667
27.46	10
27.48	6.66667
27.5	10
27.52	3.33333
27.54	13.3333
27.56	8.33333
27.58	0
27.6	6.66667
27.62	13.3333
27.64	13.3333
27.66	11.6667
27.68	20
27.7	6.66667
27.72	13.3333
27.74	6.66667
27.76	8.33333
27.78	15
27.8	15
27.82	10
27.84	18.3333
27.86	15
27.88	8.33333
27.9	15
27.92	15
27.94	21.6667
27.96	10
27.98	13.3333
28	20
28.02	10
28.04	11.6667
28.06	6.66667
28.08	11.6667
28.1	15
28.12	13.3333
28.14	5
28.16	15
28.18	13.3333
28.2	13.3333
28.22	20
28.24	10
28.26	10
28.28	11.6667
28.3	21.6667
28.32	20
28.34	13.3333
28.36	16.6667
28.38	15
28.4	11.6667
28.42	10
28.44	11.6667
28.46	16.6667
28.48	6.66667
28.5	21.6667
28.52	13.3333
28.54	13.3333
28.56	8.33333
28.58	11.6667
28.6	11.6667
28.62	10
28.64	11.6667
28.66	13.3333
28.68	18.3333
28.7	3.33333
28.72	10
28.74	11.6667
28.76	11.6667
28.78	11.6667
28.8	13.3333
28.82	11.6667
28.84	18.3333
28.86	5
28.88	13.3333
28.9	5
28.92	10
28.94	15
28.96	11.6667
28.98	11.6667
29	18.3333
29.02	13.3333
29.04	13.3333
29.06	16.6667
29.08	21.6667
29.1	10
29.12	16.6667
29.14	11.6667
29.16	23.3333
29.18	16.6667
29.2	21.6667
29.22	15
29.24	21.6667
29.26	13.3333
29.28	8.33333
29.3	11.6667
29.32	21.6667
29.34	11.6667
29.36	20
29.38	6.66667
29.4	8.33333
29.42	15
29.44	16.6667
29.46	23.3333
29.48	23.3333
29.5	25
29.52	13.3333
29.54	25
29.56	20
29.58	38.3333
29.6	41.6667
29.62	23.3333
29.64	30
29.66	15
29.68	26.6667
29.7	25
29.72	21.6667
29.74	15
29.76	13.3333
29.78	23.3333
29.8	11.6667
29.82	16.6667
29.84	20
29.86	20
29.88	21.6667
29.9	13.3333
29.92	18.3333
29.94	21.6667
29.96	21.6667
29.98	13.3333
30	10
30.02	13.3333
30.04	20
30.06	25
30.08	16.6667
30.1	20
30.12	15
30.14	23.3333
30.16	16.6667
30.18	15
30.2	15
30.22	3.33333
30.24	18.3333
30.26	16.6667
30.28	16.6667
30.3	18.3333
30.32	20
30.34	25
30.36	21.6667
30.38	10
30.4	28.3333
30.42	21.6667
30.44	15
30.46	11.6667
30.48	20
30.5	16.6667
30.52	20
30.54	13.3333
30.56	15
30.58	16.6667
30.6	13.3333
30.62	16.6667
30.64	21.6667
30.66	13.3333
30.68	13.3333
30.7	15
30.72	23.3333
30.74	11.6667
30.76	16.6667
30.78	18.3333
30.8	18.3333
30.82	20
30.84	28.3333
30.86	35
30.88	26.6667
30.9	11.6667
30.92	38.3333
30.94	33.3333
30.96	28.3333
30.98	36.6667
31	21.6667
31.02	28.3333
31.04	30
31.06	26.6667
31.08	40
31.1	36.6667
31.12	30
31.14	30
31.16	31.6667
31.18	40
31.2	35
31.22	18.3333
31.24	16.6667
31.26	23.3333
31.28	35
31.3	36.6667
31.32	36.6667
31.34	55
31.36	40
31.38	38.3333
31.4	38.3333
31.42	41.6667
31.44	38.3333
31.46	43.3333
31.48	46.6667
31.5	45
31.52	50
31.54	35
31.56	50
31.58	41.6667
31.6	61.6667
31.62	41.6667
31.64	33.3333
31.66	50
31.68	55
31.7	58.3333
31.72	50
31.74	71.6667
31.76	63.3333
31.78	71.6667
31.8	53.3333
31.82	88.3333
31.84	73.3333
31.86	95
31.88	86.6667
31.9	98.3333
31.92	98.3333
31.94	111.667
31.96	101.667
31.98	118.333
32	123.333
32.02	123.333
32.04	126.667
32.06	158.333
32.08	146.667
32.1	128.333
32.12	163.333
32.14	198.333
32.16	223.333
32.18	245
32.2	263.333
32.22	315
32.24	306.667
32.26	341.667
32.28	331.667
32.3	316.667
32.32	335
32.34	386.667
32.36	305
32.38	363.333
32.4	330
32.42	290
32.44	315
32.46	301.667
32.48	266.667
32.5	271.667
32.52	221.667
32.54	201.667
32.56	221.667
32.58	201.667
32.6	131.667
32.62	160
32.64	163.333
32.66	145
32.68	106.667
32.7	95
32.72	78.3333
32.74	90
32.76	83.3333
32.78	88.3333
32.8	70
32.82	53.3333
32.84	61.6667
32.86	48.3333
32.88	56.6667
32.9	33.3333
32.92	56.6667
32.94	41.6667
32.96	41.6667
32.98	46.6667
33	43.3333
33.02	45
33.04	40
33.06	33.3333
33.08	43.3333
33.1	33.3333
33.12	30
33.14	23.3333
33.16	38.3333
33.18	28.3333
33.2	36.6667
33.22	36.6667
33.24	36.6667
33.26	23.3333
33.28	18.3333
33.3	28.3333
33.32	20
33.34	31.6667
33.36	25
33.38	11.6667
33.4	20
33.42	21.6667
33.44	16.6667
33.46	31.6667
33.48	16.6667
33.5	18.3333
33.52	25
33.54	21.6667
33.56	28.3333
33.58	20
33.6	20
33.62	20
33.64	23.3333
33.66	21.6667
33.68	23.3333
33.7	18.3333
33.72	20
33.74	23.3333
33.76	15
